"cabang,""nomor_ulok"",""nama_toko"",""lingkup_pekerjaan"",""id_toko"",""opname_final_id"",""tipe_opname"",""aksi"",""status_opname_final"",""tanggal_opname_final"",""opname_item_count"",""berkas_serah_terima_id"",""link_pdf_opname"",""link_pdf_serah_terima"""
"CIANJUR,""2JZ1-2603-0002"",""REST AREA ASSALAM"",""ME"",""1164"",""274"",""OPNAME_FINAL"",""terkunci"",""Disetujui"",""2026-05-08"",""29"","""",""https://drive.google.com/file/d/1vp6eXMRSdY-ObbEjocvHm-kmFqMgKGvK/view?usp=drivesdk"","""""
"CIANJUR,""2JZ1-2603-0002"",""REST AREA ASSALAM"",""SIPIL"",""1112"",""275"",""OPNAME_FINAL"",""terkunci"",""Disetujui"",""2026-05-07"",""88"","""",""https://drive.google.com/file/d/18kQGTbHGbQ33CWeyhFSfRlSdPbEH_tld/view?usp=drivesdk"","""""
"CIANJUR,""2JZ1-2603-0003"",""GUNUNG JAYA"",""ME"",""1243"",""276"",""OPNAME_FINAL"",""terkunci"",""Disetujui"",""2026-06-04"",""27"","""",""https://drive.google.com/file/d/1AXL19pDNjcoALp5AVfd9DF4lggn6QoRY/view?usp=drivesdk"","""""
"HEAD OFFICE,""Z001-2512-0001"",""EMAS"",""ME"",""2140"",""300"",""OPNAME_FINAL"",""terkunci"",""Disetujui"",""2026-01-09"",""3"","""",""https://drive.google.com/file/d/1O7iVsYupCEjrH7dGXbp5YUAXXREVczwk/view?usp=drivesdk"","""""
"HEAD OFFICE,""Z001-2512-0123"",""Toko EFG"",""SIPIL"",""2155"",""301"",""OPNAME_FINAL"",""terkunci"",""Disetujui"",""2025-12-12"",""10"","""",""https://drive.google.com/file/d/1s1HpsutVWnz-GijlIGfu6ZJyTEPw70Ms/view?usp=drivesdk"","""""
"HEAD OFFICE,""Z001-2601-5252"",""Duration"",""SIPIL"",""1976"",""303"",""OPNAME_FINAL"",""terkunci"",""Disetujui"",""2026-01-21"",""1"","""",""https://drive.google.com/file/d/1F2vUz9N4YoMUBxCCAs3N0FyMSMq9Tpo8/view?usp=drivesdk"","""""
"HEAD OFFICE,""Z001-2602-0909"",""NilaiToko"",""SIPIL"",""2000"",""306"",""OPNAME_FINAL"",""terkunci"",""Disetujui"",""2026-02-24"",""6"","""",""https://drive.google.com/file/d/1bmhMCYPI1pExCqocA94NHX_L6PQEwAyr/view?usp=drivesdk"","""""
"JAMBI,""1DZ1-2512-0002-R"",""LINTAS TEBO - BUNGO 4"",""ME"",""1071"",""259"",""OPNAME_FINAL"",""terkunci"",""Disetujui"",""2026-04-16"",""27"","""",""https://drive.google.com/file/d/1nPWBb9kswS0X1oEDu4G7de1WkE8IRHwx/view?usp=drivesdk"","""""
"KARAWANG,""1JZ1-2601-0002"",""CIBEUNYING WANTILAN"",""ME"",""805"",""261"",""OPNAME_FINAL"",""terkunci"",""Disetujui"",""2026-03-18"",""23"","""",""https://drive.google.com/file/d/1iwZCRvcJ6MLGFpeDmURfVUmbcBL4kL6y/view?usp=drivesdk"","""""
"KARAWANG,""1JZ1-2601-0003"",""RAYA BELENDUNG"",""ME"",""793"",""262"",""OPNAME_FINAL"",""terkunci"",""Disetujui"",""2026-03-17"",""28"","""",""https://drive.google.com/file/d/1nnGpSyFxbKf7gc-gC9NDMmTUMH-EAhut/view?usp=drivesdk"","""""
"KARAWANG,""1JZ1-2601-0003"",""RAYA BELENDUNG"",""SIPIL"",""792"",""263"",""OPNAME_FINAL"",""terkunci"",""Disetujui"",""2026-03-13"",""96"","""",""https://drive.google.com/file/d/1pCqKmDbfcaHevTIDm_VHPPbCmDRP6fUa/view?usp=drivesdk"","""""
"KARAWANG,""1JZ1-2604-0001"",""RAYA DEWI AIR_KARAWANG"",""ME"",""1565"",""73"",""OPNAME_FINAL"",""terkunci"",""Disetujui"",""2026-06-04"",""32"","""",""https://drive.google.com/file/d/1DNc4zHp328leeXgNnrAMRwWacN6Ze-CW/view?usp=drivesdk"","""""
"KARAWANG,""1JZ1-2604-0001"",""RAYA DEWI AIR_KARAWANG"",""SIPIL"",""1572"",""74"",""OPNAME_FINAL"",""terkunci"",""Disetujui"",""2026-06-05"",""45"","""",""https://drive.google.com/file/d/1NYadcPJJkLy6PmQepOASHzpmcL8NSnAC/view?usp=drivesdk"","""""
"KARAWANG,""1JZ1-2604-1J72-R"",""INTERCHANGE KARABA"",""SIPIL"",""1322"",""87"",""OPNAME_FINAL"",""terkunci"",""Menunggu Persetujuan Direktur Kontraktor"",""2026-06-15"",""9"","""",""https://drive.google.com/file/d/1t-ZVf4MTup6MPUzfNDXy5mqpGSSlYGgR/view?usp=drivesdk"","""""
"KARAWANG,""1JZ1-2605-1J20-R"",""SEGARAN"",""SIPIL"",""1588"",""125"",""OPNAME_FINAL"",""terkunci"",""Disetujui"",""2026-06-17"",""9"","""",""https://drive.google.com/file/d/1gE-FFcb4BGVzlAuRq4nHaLqOdVXjipCw/view?usp=drivesdk"","""""
"KARAWANG,""1JZ1-2605-1J3U-R"",""PESONA KALANGSURIA"",""ME"",""1652"",""206"",""OPNAME_FINAL"",""terkunci"",""Disetujui"",""2026-06-25"",""9"","""",""https://drive.google.com/file/d/1V33WmEpdz9-3MGp-1ADN2TbW2rzMD_Xc/view?usp=drivesdk"","""""
"KARAWANG,""1JZ1-2605-1JK5-R"",""RAYA KERTASARI"",""SIPIL"",""1515"",""64"",""OPNAME_FINAL"",""terkunci"",""Disetujui"",""2026-06-03"",""21"","""",""https://drive.google.com/file/d/1J1YydwtDyBg_JUss7Hteoax5rFj9H5go/view?usp=drivesdk"","""""
"KARAWANG,""1JZ1-2605-1JS1-R"",""RAYA KERTABUMI"",""ME"",""1948"",""251"",""OPNAME_FINAL"",""terkunci"",""Disetujui"",""2026-06-25"",""13"","""",""https://drive.google.com/file/d/1ipMbWk6tGy_NLqMYfojUcAV-rs0YV0I-/view?usp=drivesdk"","""""
"KARAWANG,""1JZ1-2605-1JS1-R"",""RAYA KERTABUMI "",""SIPIL"",""1739"",""202"",""OPNAME_FINAL"",""terkunci"",""Disetujui"",""2026-06-25"",""41"","""",""https://drive.google.com/file/d/1T7lueq6H4idsYZEML_WnikHI3pLdUIiK/view?usp=drivesdk"","""""
"KARAWANG,""1JZ1-2605-CC78-R"",""SIRNABAYA_KARAWANG"",""SIPIL"",""1506"",""71"",""OPNAME_FINAL"",""terkunci"",""Disetujui"",""2026-06-04"",""76"","""",""https://drive.google.com/file/d/1hWyjqndPi1fIDBfR_R1s3MwIceNQ0TDd/view?usp=drivesdk"","""""
"LUWU,""2VZ1-2603-R353-R"",""AP PETTARANI WAJO"",""ME"",""1126"",""279"",""OPNAME_FINAL"",""terkunci"",""Disetujui"",""2026-05-11"",""8"","""",""https://drive.google.com/file/d/1KyjoBD_ffPV1KrmdYbSW7l2PqIIkd2Mn/view?usp=drivesdk"","""""
"LUWU,""2VZ1-2603-R353-R"",""AP PETTARANI WAJO"",""SIPIL"",""1125"",""280"",""OPNAME_FINAL"",""terkunci"",""Disetujui"",""2026-05-09"",""6"","""",""https://drive.google.com/file/d/14n3OrHQ9xVcNllAVSmsT0XbisXbFgb5v/view?usp=drivesdk"","""""
"LUWU,""2VZ1-2603-R531-R"",""TANCUNG WAJO"",""ME"",""1128"",""281"",""OPNAME_FINAL"",""terkunci"",""Disetujui"",""2026-05-11"",""8"","""",""https://drive.google.com/file/d/1rQTNu2dKz0LEDIslGD_SW3vxjY0j7EoT/view?usp=drivesdk"","""""
"LUWU,""2VZ1-2603-R531-R"",""TANCUNG WAJO"",""SIPIL"",""1127"",""282"",""OPNAME_FINAL"",""terkunci"",""Disetujui"",""2026-05-09"",""6"","""",""https://drive.google.com/file/d/18v_oPb3maoPvhFA7SPCU7lDA-VJLlBr1/view?usp=drivesdk"","""""
"LUWU,""2VZ1-2603-R614-R"",""PANCA RIJANG SIDRAP"",""ME"",""1133"",""283"",""OPNAME_FINAL"",""terkunci"",""Disetujui"",""2026-05-11"",""8"","""",""https://drive.google.com/file/d/1z0guZKahePlVtfeUfcQY5vjHqEWnGghs/view?usp=drivesdk"","""""
"LUWU,""2VZ1-2603-R614-R"",""PANCA RIJANG SIDRAP"",""SIPIL"",""1132"",""284"",""OPNAME_FINAL"",""terkunci"",""Disetujui"",""2026-05-11"",""6"","""",""https://drive.google.com/file/d/1znja9rJFr8opsyXsAM_I_fk_LVwNz_Tr/view?usp=drivesdk"","""""
"LUWU,""2VZ1-2603-R702-R"",""ULUGALUNG WAJO"",""ME"",""1130"",""285"",""OPNAME_FINAL"",""terkunci"",""Disetujui"",""2026-05-11"",""8"","""",""https://drive.google.com/file/d/1Q-mZCbFeJLbTJp-i7E9UDnhwS-GfX4Db/view?usp=drivesdk"","""""
"LUWU,""2VZ1-2603-R702-R"",""ULUGALUNG WAJO"",""SIPIL"",""1129"",""286"",""OPNAME_FINAL"",""terkunci"",""Disetujui"",""2026-05-11"",""6"","""",""https://drive.google.com/file/d/1n5BqE9ZhgcntD2YH2WXRjwJYWMltO7V0/view?usp=drivesdk"","""""
"MANADO,""1YZ1-2604-0001"",""WENANG MANADO"",""SIPIL"",""1446"",""55"",""OPNAME_FINAL"",""terkunci"",""Disetujui"",""2026-05-28"",""62"","""",""https://drive.google.com/file/d/1vhJf5UkZGcp-E-XgseRWDHUehBboTb10/view?usp=drivesdk"","""""
"PARUNG,""1MZ1-2511-0002"",""JOMBANG CIPUTAT (NEW STORE)"",""SIPIL"",""919"",""264"",""OPNAME_FINAL"",""terkunci"",""Disetujui"",""2026-04-15"",""5"","""",""https://drive.google.com/file/d/1EK5dvCVArbLxgDNcuwFOtzFSmHpEulSV/view?usp=drivesdk"","""""
